old_url,action,new_url_or_file,language,priority,notes
# === HOMEPAGES & ROOT ===
/,rewrite,/index.html,ca,P1,Homepage CA preserved
/es/,rewrite,/es/index.html,es,P1,Homepage ES preserved
/es/inicio/,301,/es,es,P0,Drop redundant /inicio segment (already in vercel.json)
# === PAGE SITEMAP - SERVICE & COMPANY HUBS ===
/empresa/,301,/nosaltres,ca,P1,Old company page consolidated
/es/quienes-somos/,301,/es/nosotros,es,P1,Old company page ES consolidated (rename pending)
/contacte/,301,/nosaltres#contacte,ca,P1,Contact folded into nosaltres
/es/contacto/,301,/es/nosotros#contacto,es,P1,Contact folded into nosotros (rename pending)
/com-construim-la-teva-casa/,rewrite,/construccio,ca,P1,Process page consolidated into construccio service
/com-construir-la-teva-casa/,301,/com-construim-la-teva-casa,ca,P2,Near-duplicate (already in vercel.json)
/es/como-construimos-tu-casa/,301,/es/construccion,es,P1,Process page ES consolidated
/galeria/,301,/projectes,ca,P1,Old gallery folded into projectes index
/es/galeria/,301,/es/proyectos,es,P1,Old gallery ES folded into projectes
/professional/,301,/usuaris,ca,P2,Pro area folded into usuaris login
/es/profesional/,301,/es/usuaris,es,P2,Pro area ES folded into usuaris login
/planifica-trucada/,301,/pressupost#contact,ca,P2,Phone-call CTA folded into pressupost
/gracies/,deprecate,/,ca,P2,Thank-you page no equivalent (return to home)
/gracies_visita/,deprecate,/,ca,P2,Visit thank-you no equivalent
/accedir-al-contingut/,deprecate,/,ca,P2,Gated-content placeholder no equivalent
# === LEGAL ===
/avis-legal/,rewrite,/avis-legal,ca,P2,Legal page (to-create-S4 or noindex)
/es/aviso-legal/,rewrite,/es/aviso-legal,es,P2,Legal page ES (to-create-S4)
/politica-de-privacitat/,rewrite,/politica-de-privacitat,ca,P2,Privacy CA (to-create-S4)
/es/politica-de-privacidad/,rewrite,/es/politica-de-privacidad,es,P2,Privacy ES (to-create-S4)
/politica-de-cookies/,rewrite,/politica-de-cookies,ca,P2,Cookies CA (to-create-S4)
/es/politica-de-cookies/,rewrite,/es/politica-de-cookies,es,P2,Cookies ES (to-create-S4)
# === PAGES - CONFIGURATOR & TOOLS (already in vercel.json) ===
/pressupost-gratuit/,301,/pressupost,ca,P0,Configurator URL unification (in vercel.json)
/pressupost-casa-passiva-passivhaus-ecologica/,301,/pressupost,ca,P0,Configurator URL unification (in vercel.json)
/es/presupuesto/,301,/es/pressupost,es,P0,Configurator URL unification (in vercel.json - rename pending)
/es/presupuesto-gratuito/,301,/es/pressupost,es,P0,Configurator URL unification (in vercel.json)
# === PAGES - NEWSLETTER (already in vercel.json) ===
/diari/,301,/butlleti,ca,P1,Newsletter URL unification (in vercel.json)
/inscripcio/,301,/butlleti,ca,P1,Newsletter URL unification (in vercel.json)
/bustia/,301,/butlleti,ca,P1,Newsletter URL unification (in vercel.json)
/es/diario/,301,/es/butlleti,es,P1,Newsletter URL unification ES (in vercel.json)
/es/boletin-de-noticias/,301,/es/butlleti,es,P1,Newsletter URL unification ES (in vercel.json)
# === PAGES - SERVICE LANDINGS (already in vercel.json) ===
/productes-alta-eficiencia-energetica/,301,/construccio,ca,P0,Service hub flattened (in vercel.json)
/productes-alta-eficiencia-energetica/cases-eskimohaus/,301,/construccio,ca,P0,Eskimohaus folded (in vercel.json)
/productes-alta-eficiencia-energetica/rehabilitacions/,301,/rehabilitacio,ca,P0,Rehab service flat (in vercel.json)
/productes-alta-eficiencia-energetica/ampliacions-i-remuntes/,301,/construccio,ca,P0,Ampliacions folded (in vercel.json)
/es/que-hacemos/,301,/es/construccion,es,P0,Service hub ES flattened
/es/que-hacemos/casas-eskimohaus/,301,/es/construccion,es,P0,Eskimohaus ES folded
/es/que-hacemos/rehabilitaciones/,301,/es/rehabilitacion,es,P0,Rehab service ES flat
/es/que-hacemos/ampliaciones-y-remontas/,301,/es/construccion,es,P0,Ampliacions ES folded
/especialistes-en-cases-passives-a-catalunya/,301,/construccio,ca,P1,SEO landing absorbed (in vercel.json)
/es/casas-pasivas-cataluna/,301,/es/construccion,es,P1,SEO landing ES absorbed
/llistat-de-projectes-actius/,301,/projectes,ca,P1,Active projects folded (in vercel.json)
/es/lista-de-proyectos-activos/,301,/es/proyectos,es,P1,Active projects ES folded (in vercel.json)
/blog/,rewrite,/blog,ca,P1,Blog hub preserved
/es/blog/,rewrite,/es/blog,es,P1,Blog hub ES preserved
/annex-la-finestra-que-no-veus/,301,/blog,ca,P2,Standalone landing folded (in vercel.json)
# === PROJECTS CA - REWRITES TO PRESERVE /projectes/<slug>/ PUBLIC URLS ===
/projectes/,rewrite,/projectes.html,ca,P1,Projects index preserved
/projectes/k-alzina/,rewrite,/projecte-k-alzina.html,ca,P0,Slug match
